City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,inongo,-1.95,18.27,73.63,66,35,2.42,CD,1594110139
154,sorong,-0.88,131.25,77.79,89,100,6.22,ID,1594110130
155,mecca,21.43,39.83,101.19,11,58,10.56,SA,1594110080
156,zapolyarnyy,69.42,30.81,51.8,76,75,14.99,RU,1594110139
157,mana,5.66,-53.78,76.78,89,21,7.56,GF,1594110139
158,englewood,39.65,-104.99,71.6,43,20,13.87,US,1594110039
159,torbay,47.67,-52.73,44.6,87,40,3.36,CA,1594109627
160,saskylakh,71.92,114.08,62.53,44,100,7.94,RU,1594109686
161,anacortes,48.51,-122.61,59.0,72,90,4.7,US,1594110075
162,puerto del rosario,28.5,-13.86,78.8,69,0,3.36,ES,1594110140
163,marsaxlokk,35.84,14.54,78.8,69,2,13.87,MT,1594110141
164,buraydah,26.33,43.98,98.6,20,0,5.28,SA,1594110141
165,luanda,-8.84,13.23,77.0,61,75,4.7,AO,1594109905
166,bollnas,61.35,16.39,55.72,57,100,8.75,SE,1594110141
167,mildura,-34.2,142.15,53.6,62,90,5.82,AU,1594110142
168,cidreira,-30.18,-50.21,56.59,85,100,12.75,BR,1594109672
169,talcahuano,-36.72,-73.12,33.8,100,83,4.7,CL,1594110142
170,palmer,42.16,-72.33,64.4,93,1,3.36,US,1594110142
171,goure,13.98,10.27,86.0,62,77,7.0,NE,1594110142
172,ketchikan,55.34,-131.65,55.4,82,90,4.7,US,1594109782
173,faanui,-16.48,-151.75,78.98,78,72,13.38,PF,1594109636
174,los llanos de aridane,28.66,-17.92,71.6,88,75,10.29,ES,1594110143
175,inuvik,68.35,-133.72,41.0,93,20,8.05,CA,1594110143
176,quimper,48.0,-4.1,59.0,77,82,4.7,FR,1594110067
177,new norfolk,-42.78,147.06,44.01,82,5,1.01,AU,1594109654
178,lorengau,-2.02,147.27,82.42,79,100,10.47,PG,1594109749
179,korla,41.76,86.15,93.4,13,2,17.76,CN,1594110144
180,mehamn,71.04,27.85,46.4,93,90,16.11,NO,1594110145
181,poli,-3.33,36.8,68.0,77,75,6.93,TZ,1594110145
182,ancud,-41.87,-73.82,41.0,93,99,4.7,CL,1594109750
183,rexburg,43.83,-111.79,60.01,71,1,5.82,US,1594109928
184,ankazoabo,-22.28,44.52,81.45,21,0,8.9,MG,1594110057
185,thomaston,32.89,-84.33,73.99,94,90,2.8,US,1594110145
186,panzhihua,26.59,101.71,82.0,54,98,3.18,CN,1594110146
187,vilcun,-38.65,-72.23,30.2,100,20,1.12,CL,1594110146
188,lebu,-37.62,-73.65,43.66,73,89,8.9,CL,1594109674
189,pundaguitan,6.37,126.17,84.11,72,99,8.34,PH,1594110146
190,la palma,33.85,-118.05,69.8,77,1,5.32,US,1594109762
191,shimoda,34.67,138.95,78.8,94,75,21.92,JP,1594109680
192,aleksandrov gay,50.15,48.57,100.98,15,50,6.22,RU,1594110147
193,henties bay,-22.12,14.28,57.0,87,0,3.0,NA,1594109694
194,saveh,35.02,50.36,91.02,15,0,16.31,IR,1594110147
195,lompoc,34.64,-120.46,53.6,93,1,8.05,US,1594110148
196,tuatapere,-46.13,167.68,39.0,83,100,3.0,NZ,1594109742
197,san cristobal,7.77,-72.22,66.15,75,99,1.79,VE,1594109561
198,cabedelo,-6.98,-34.83,72.91,85,49,10.04,BR,1594109571
199,norman wells,65.28,-126.83,50.0,81,75,6.93,CA,1594109490
200,palana,59.12,159.97,52.99,85,98,1.88,RU,1594110149
201,amapa,1.0,-52.0,69.76,98,19,1.05,BR,1594110149
202,peno,56.93,32.74,60.22,94,100,7.2,RU,1594110149
203,necochea,-38.55,-58.74,37.99,95,78,1.99,AR,1594109544
204,oranjemund,-28.55,16.43,61.38,65,100,9.17,NA,1594110149
205,luwingu,-10.26,29.93,67.24,42,35,8.72,ZM,1594110150
206,yeppoon,-23.13,150.73,68.0,60,2,5.82,AU,1594110150
207,khatanga,71.97,102.5,56.66,51,69,15.3,RU,1594109697
208,vila velha,-20.33,-40.29,64.0,93,0,3.36,BR,1594109599
209,hamilton,39.18,-84.53,71.01,94,40,1.57,US,1594109625
210,murgab,37.5,61.97,91.4,17,90,13.87,TM,1594110151
211,mandera,3.94,41.87,82.65,46,94,15.12,KE,1594110151
212,kinel-cherkassy,53.47,51.47,86.77,55,0,5.17,RU,1594110151
213,atlantic city,39.36,-74.42,73.0,83,1,1.1,US,1594110152
214,silvan,38.14,41.01,96.8,28,20,4.7,TR,1594110152
215,zhangye,38.93,100.45,96.46,13,92,13.2,CN,1594110152
216,bamnet narong,15.5,101.69,91.06,56,100,6.02,TH,1594110152
217,phonhong,18.5,102.42,87.8,79,75,4.7,LA,1594110152
218,vryburg,-26.96,24.73,62.17,26,0,6.15,ZA,1594110152
219,santo antonio da platina,-23.3,-50.08,60.6,95,0,3.18,BR,1594109879
220,hasaki,35.73,140.83,82.4,83,75,19.46,JP,1594109692
221,meulaboh,4.14,96.13,84.49,74,97,6.8,ID,1594109740
222,miles city,46.41,-105.84,60.8,93,1,8.05,US,1594110154
223,vostok,46.49,135.88,65.08,90,100,4.12,RU,1594109769
224,flinders,-34.58,150.86,57.0,81,81,1.01,AU,1594109654
225,shirokiy,49.76,129.52,66.7,76,57,14.58,RU,1594110154
226,itarema,-2.92,-39.92,74.52,90,31,8.32,BR,1594109784
227,sitka,57.05,-135.33,55.4,76,90,3.36,US,1594109717
228,mazamet,43.49,2.37,66.2,67,51,11.41,FR,1594110155
229,naze,28.37,129.48,84.2,89,75,16.11,JP,1594109664
230,lazaro cardenas,17.96,-102.2,79.18,81,99,6.73,MX,1594110155
231,avarua,-21.21,-159.78,73.4,78,100,13.87,CK,1594109634
232,barsovo,61.17,73.17,80.6,44,40,11.18,RU,1594110156
233,saint-philippe,-21.36,55.77,73.4,94,90,20.8,RE,1594109625
234,poum,-20.23,164.02,71.78,65,34,7.27,NC,1594109696
235,liverpool,53.41,-2.98,59.0,82,75,5.82,GB,1594110156
236,asau,46.43,26.4,64.99,82,88,6.44,RO,1594109825
237,pangoa,-12.12,-73.0,64.87,96,100,2.39,PE,1594109792
238,pradopolis,-21.36,-48.07,61.99,71,0,3.22,BR,1594110157
239,bowen,-20.02,148.23,69.8,68,90,12.75,AU,1594110157
240,mitsamiouli,-11.38,43.28,79.14,75,68,18.7,KM,1594109679
241,moerai,-22.43,-151.33,68.54,72,99,22.28,PF,1594110157
